,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line60,"Cou'd angry Pallas, with revengeful Spleen,","Or 'tis an Engine rais'd above the Town,",Spare to pollute thy pious Hands with Blood:,Barcaean Troops befiege the narrow Shore;,"The Sun revolving thro' th' Etherial Space,","This said, the Servants urge the Sacred Rites;","For I shall sing of Battels, Blood, and Rage,","Th' Effect of Fancy, or an idle Dream,","Then, spurring on, his brandish'd Dart he threw,","Alecto, rais'd by her, with Rage inflames","Of my full Wishes, she refus'd the best!","The Bones of Latians, blanch the neighb'ring Shore:"
line61,"The Grecian Navy burn, and drown the Men?","T' o'relook the Walls, and then to batter down.",The Tears distil not from the wounded Wood;,And from the Sea Pigmalion threatens more.,"The shining Circle of the Year has fill'd,",While to the Temple she the Prince invites.,"Which Princes, and their People did engage:",A Sow beneath an Oak shall lye along;,"In sign of War, applauding Shouts ensue.",The peaceful Bosoms of the Latian Dames.,She came; but brought not thee along; to bless,"Why put I not an end to this Debate,"
line62,"She for the Fault of one offending Foe,",Somewhat is sure design'd; by Fraud or Force;,"But ev'ry drop this living Tree contains,","Propitious Heav'n, and gracious Juno, lead",Since first this Isle my Father's Ashes held:,"A spacious Cave, within its farmost part,","And haughty Souls, that mov'd with mutual Hate,","All white her self, and white her thirty Young.",Amaz'd to find a dastard Race that run,Imperial Sway no more exalts my Mind:,"My longing Eyes, and share in my Success:","Still unresolv'd, and still a Slave to Fate?"
line63,The Bolts of Jove himself presum'd to throw:,"Trust not their Presents, nor admit the Horse.","Is kindred Blood, and ran in Trojan Veins:",This wand'ring Navy to your needful Aid:,"And now the rising Day renews the Year,",Was hew'd and fashion'd by laborious Art.,In fighting Fields pursu'd and found their Fate:,"When thirty rowling Years have run their Race,","Behind the Rampires, and the Battel shun,","(Such hopes I had indeed, while Heav'n was kind)",She grudg'd thy safe Return the Triumphs due,"If Turnus's Death a lasting Peace can give,"
line64,"With Whirlwinds from beneath she toss'd the Ship,","Thus having said, against the Steed he threw","O fly from this unhospitable Shore,","How will your Empire spread, your City rise","(A Day for ever sad, for ever dear,)","Thro' the Hills hollow sides: Before the place,","That rouz'd the Tyrrhene Realm with loud Alarms,","Thy Son, Ascanius, on this empty Space,","He rides around the Camp, with rowling Eyes,","Now let my happier Foes possess my place,","To prosp'rous Valour, in the publick View.","Why shou'd I not procure it, while you live."
line65,And bare expos'd the Bosom of the deep:,"His forceful Spear, which, hissing as it flew,",Warn'd by my Fate; for I am Polydore!,"From such an Union, and with such Allies!","This wou'd I celebrate with Annual Games,",A hundred Doors a hundred Entries grace:,And peaceful Italy involv'd in Arms.,"Shall build a Royal Town, of lasting Fame;",And stops at ev'ry Post; and ev'ry Passage tries.,Whom Jove prefers before the Trojan Race;,"Not thus I promis'd, when thy Father lent","Shou'd I to doubtful Arms your Youth betray,"
line66,"Then, as an Eagle gripes the trembling Game,","Pierc'd through the yielding Planks of jointed Wood,","Here loads of Lances, in my Blood embru'd,",Implore the Favour of the Pow'rs above;,"With Gifts on Altars pil'd, and holy Flames,",As many Voices issue; and the sound,"A larger Scene of Action is display'd,",Which from this Omen shall receive the Name.,"So roams the nightly Wolf about the Fold,","And conquer they, whom you with Conquest grace.",Thy needful Succour with a sad Consent;,"What wou'd my Kinsmen, the Rutulians, say?"
line67,"The Wretch yet hissing with her Father's Flame,",And trembling in the hollow Belly stood.,"Again shoot upward, by my Blood renew'd.",And leave the Conduct of the rest to Love.,"Tho banish'd to Getulia's barren Sands,",Of Sibyl's Words as many times rebound.,"And, rising hence, a greater Work is weigh'd.","Time shall approve the Truth: For what remains,","Wet with descending Show'rs, and stiff with cold;","Since you can spare, from all your wide Command,","Embrac'd me parting for th' Etrurian Land,","And shou'd you fall in Fight, (which Heav'n defend)"
line68,"She strongly seiz'd, and with a burning Wound,","The sides transpierc'd, return a ratling Sound,","My faultring Tongue, and shiv'ring Limbs declare","Continue still your hospitable way,","Caught on the Grecian Seas, or hostile Lands:","Now to the Mouth they come: Aloud she cries,","Latinus old and mild, had long possess'd","And how with sure Success to crown thy Pains,","He howls for Hunger, and he grins for Pain;","No spot of Earth, no hospitable Land,",And sent me to possess a large Command.,"How curse the Cause, which hasten'd to his end,"
line69,"Transfix'd and naked, on a Rock she bound.",And Groans of Greeks inclos'd come issuing through the Wound.,"My Horror, and in Bristles rose my Hair.",And still invent occasions of their Stay;,"But since this happy Storm our Fleet has driv'n,","This is the time, enquire your Destinies.","The Latian Scepter, and his People bless'd:","With Patience next attend. A banish'd Band,",His gnashing Teeth are exercis'd in vain:,Which may my wand'ring Fugitives receive;,"He warn'd, and from his own Experience told,","The Daughter's Lover, and the Father's Friend?"
line70,"But I, who walk in awful State above,","And had not Heav'n the fall of Troy design'd,","When Troy with Grecian Arms was closely pent,","'Till Storms, and winter Winds, shall cease to threat,","(Not, as I deem, without the Will of Heav'n,)","He comes, behold the God! Thus while she said,",His Father Faunus: a Laurentian Dame,"Driv'n with Evander from th' Arcadian Land,","And impotent of Anger, finds no way",(Since haughty Juno will not give you leave),"Our Foes were warlike, disciplin'd, and bold:","Weigh in your Mind, the various Chance of War,"
line71,"The Majesty of Heav'n, the Sister-wife of Jove;","Or had not Men been fated to be blind,","Old Priam, fearful of the Wars Event,","And Plancks and Oars, repair their shatter'd Fleet.","Upon these friendly Shores, and flow'ry Plains,",(And shiv'ring at the sacred Entry staid),"His Mother, fair Marica was her Name.",Have planted here: and plac'd on high their Walls;,In his distended Paws to grasp the Prey.,"Then, Father, (if I still may use that Name)","And now perhaps, in hopes of thy return,",Pity your Parent's Age; and ease his Care.
line72,"For length of Years, my fruitless Force employ","Enough was said and done, t' inspire a better Mind:",This hapless Polydore to Thracia sent.,"These Words, which from a Friend, and Sister came,","Which hide Anchises, and his blest Remains;","Her Colour chang'd, her Face was not the same,","But Faunus came from Picus, Picus drew","Their Town the Founder, Palanteum calls:",The Mothers listen; but the bleating Lambs,"By ruin'd Troy, yet smoking from the Flame,",Rich Odours on his loaded Altars burn;,"Such balmy Words he pour'd, but all in vain;"
line73,Against the thin remains of ruin'd Troy.,"Then had our Lances pierc'd the treach'rous Wood,","Loaded with Gold, he sent his Darling, far",With Ease resolv'd the Scruples of her Fame;,Let us with Joy perform his Honours due;,And hollow Groans from her deep Spirit came.,"His Birth from Saturn, if Records be true.","Deriv'd from Pallas, his great Grandsire's Name:","Securely swig the Dug, beneath the Dams.","I beg you let Ascanius, by my Care,","While we, with vain officious Pomp, prepare",The proffer'd Med'cine but provok'd the Pain.
line74,"What Nations now to Juno's Pow'r will pray,","And Ilian Tow'rs, and Priam's Empire stood.","From Noise and Tumults, and destructive War:",And added Fury to the kindled Flame.,"And pray for prosp'rous Winds, our Voyage to renew.",Her Hair stood up; convulsive Rage possess'd,"Thus King Latinus, in the third Degree,",But the fierce Latians old Possession claim:,"Thus ranges eager Turnus o're the Plain,","Be freed from Danger, and dismiss'd the War:",To send him back his Portion of the War;,"The wrathful Youth disdaining the Relief,"
line75,Or Off'rings on my slighted Altars lay?,"Mean time, with Shouts, the Trojan Shepherds bring",Commited to the faithless Tyrant's Care.,"Inspir'd with Hope, the Project they pursue;","Pray, that in Towns, and Temples of our own,","Her trembling Limbs, and heav'd her lab'ring Breast.",Had Saturn Author of his Family.,With War infesting the new Colony;,"Sharp with Desire, and furious with Disdain:","Inglorious let him live, without a Crown;",A bloody breathless Body: which can owe,"With intermitting Sobs, thus vents his Grief."
line76,"Thus rag'd the Goddess, and with Fury fraught,","A captive Greek in Bands, before the King:","Who, when he saw the Pow'r of Troy decline,",On ev'ry Altar Sacrifice renew;,The Name of great Anchises may be known;,Greater than Human Kind she seem'd to look:,"But this old peaceful Prince, as Heav'n decreed,","These make thy Friends, and on their Aid rely.",Surveys each Passage with a piercing Sight;,"The Father may be cast on Coasts unknown,","No farther Debt, but to the Pow'rs below.","The care, O best of Fathers, which you take"
line77,The restless Regions of the Storms she sought.,"Taken, to take; who made himself their Prey,","Forsook the weaker, with the strong to join.",A chosen Ewe of two Years old they pay,And yearly Games may spread the Gods renown.,"And with an Accent, more than Mortal, spoke.",Was bless'd with no Male Issue to succeed:,To thy free Passage I submit my Streams:,To force his Foes in equal Field to fight.,Strugling with Fate; but let me save the Son.,"The wretched Father, e're his Race is run,","For my Concerns, at my Desire, forsake."
line78,"Where in a spacious Cave of living Stone,","T' impose on their Belief, and Troy betray.","Broke ev'ry Bond of Nature, and of Truth;","To Ceres, Bacchus, and the God of Day:","Our Sports, Acestes of the Trojan Race,",Her staring Eyes with sparling Fury rowl;,His Sons in blooming Youth were snatch'd by Fate;,Wake Son of Venus from thy pleasing Dreams;,"Thus, while he gazes round, at length he spies","Mine is Cythera, mine the Cyprian Tow'rs;",Shall view the Fun'ral Honours of his Son.,Permit me not to languish out my Days;
line79,"The Tyrant E'lus from his Airy Throne,","Fix'd on his Aim, and obstinately bent","And murder'd, for his Wealth, the Royal Youth.",Preferring Juno's Pow'r: For Juno ties,"With royal Gifts, ordain'd, is pleas'd to grace:",When all the God came rushing on her Soul.,One only Daughter heir'd the Royal State.,"And, when the setting Stars are lost in Day,","Where, fenc'd with strong Redoubts, their Navy lies;","In those Recesses, and those sacred Bow'rs,",These are my Triumphs of the Latian War;,But make the best exchange of Life for Praise.
line80,"With Pow'r Imperial curbs the strugling Winds,","To die undaunted, or to circumvent.","O sacred Hunger of pernicious Gold,","The Nuptial Knot, and makes the Marriage Joys.",Two Steers on ev'ry Ship the King bestows;,"Swiftly she turn'd, and foaming as she spoke,","Fir'd with her Love, and with Ambition led,",To Juno's Pow'r thy just Devotion pay.,Close underneath the Walls: The washing Tyde,Obscurely let him rest; his Right resign,"Fruits of my plighted Faith, and boasted Care.","This Arm, this Lance, can well dispute the Prize;"
line81,And sounding Tempests in dark Prisons binds.,"About the Captive, tides of Trojans flow;",What bands of Faith can impious Lucre hold!,"The beauteous Queen before her Altar stands,","His Gods and ours, shall share your equal Vows.","Why this Delay, she cry'd; the Pow'rs invoke.",The neighb'ring Princes court her nuptial Bed.,With Sacrifice the wrathful Queen appease;,Secures from all approach this weaker side.,"To promis'd Empire, and his Julian Line.","And yet, unhappy Sire, thou shalt not see","And the Blood follows, where the Weapon flies:"
line82,"This Way, and that, th' impatient Captives tend,","All press to see, and some insult the Foe.","Now, when my Soul had shaken off her Fears,",And holds the Golden Goblet in her Hands:,"Besides, if nine days hence, the rosy Morn","Thy Pray'rs alone can open this abode,","Among the Crowd, but far above the rest,","Her Pride at length shall fall, her Fury cease.",He takes the wish'd Occasion; fills his Hand,"Then Carthage may th' Ausonian Towns destroy,","A Son, whose Death disgrac'd his Ancestry:","His Goddess Mother is not near, to shrowd"
line83,"And pressing for Release, the Mountains rend;","Now hear how well the Greeks their Wiles disguis'd,","I call my Father, and the Trojan Peers:","A milk-white Heifar she with Flow'rs adorns,","Shall with unclouded Light the Skies adorn,","Else vain are my Demands, and dumb the God.",Young Turnus to the Beauteous Maid address'd.,"When thou return'st victorious from the War,","With ready Fires, and shakes a flaming Brand:",Nor fear the Race of a rejected Boy.,"Thou shalt not blush, old Man, however griev'd:","The flying Coward, with an empty Cloud."
